gene,cosine_distance_mean,cosine_distance_std,cosine_distance_count,p_value_mean,p_value_median,null_mean_mean,effect_size,fdr_p_value,fdr_significant
MEF2C,0.01089,0.020453,526,0.404196,0.322581,0.008629,0.11054612961156739,0.6528687,False
NRXN1,0.01039,0.021625,650,0.455589,0.387097,0.008246,0.09914450821204852,0.6528687,False
CAMK2A,0.010045,0.018469,388,0.406199,0.322581,0.008218,0.09892251827969833,0.6528687,False
GRIN2B,0.010087,0.020195,471,0.433301,0.419355,0.00833,0.08700173267144473,0.6528687,False
CADM2,0.011116,0.023087,1142,0.453405,0.419355,0.009451,0.07211850793901975,0.6528687,False
GRIN2A,0.009908,0.019805,519,0.421975,0.322581,0.008598,0.06614491256680177,0.6528687,False
HOMER1,0.010206,0.019991,436,0.449225,0.387097,0.008979,0.06137761962194181,0.6528687,False
APP,0.010528,0.021956,1075,0.430878,0.387097,0.009416,0.05064674781086371,0.6528687,False
NEGR1,0.009779,0.020735,634,0.490186,0.419355,0.008765,0.04890282108076764,0.6528687,False
NLGN1,0.010225,0.02218,969,0.484791,0.451613,0.009233,0.04472497725552309,0.6528687,False
SCN1A,0.009493,0.0191,436,0.464134,0.419355,0.008667,0.04324607307201011,0.6528687,False
SHANK3,0.011903,0.024313,309,0.470287,0.451613,0.010979,0.038004359651197514,0.6528687,False
BDNF,0.012847,0.020727,78,0.458716,0.451613,0.012106,0.035750470228443736,0.6528687,False
DISC1,0.009418,0.02261,249,0.517452,0.516129,0.008627,0.03498451996910871,0.6528687,False
MAPT,0.009696,0.020439,1024,0.470796,0.451297,0.00933,0.01790694252210508,0.6528687,False
TCF4,0.009169,0.020283,1104,0.503203,0.483871,0.009413,-0.012029778573042526,0.6528687,False
FOXO3,0.010347,0.021008,625,0.511606,0.516129,0.010833,-0.023134044063527984,0.6528687,False
FMR1,0.007782,0.01851,191,0.564382,0.580645,0.008498,-0.038681793416089745,0.6528687,False
COMT,0.009273,0.023471,139,0.689592,0.741935,0.01051,-0.052703335807152085,0.7224297142857142,False
SYN1,0.010188,0.01989,150,0.539346,0.516129,0.011679,-0.07496229223246714,0.6528687,False
CREB1,0.008008,0.019559,366,0.593517,0.645161,0.009772,-0.09018865949082948,0.6528687,False
SLC6A4,0.000768,0.000427,2,0.727388,0.727388,0.001049,-0.6580794711757678,0.727388,False
