,ensembl_id,mean_expression,median_expression,std_expression,max_expression,percent_expressed,q25,q75,expression_variance,cv
CADM2,ENSG00000175161,64.68648529052734,44.0,66.29830932617188,571.0,98.31280128548472,23.0,83.0,4395.46533203125,1.024917483329773
NRXN1,ENSG00000179915,42.83993911743164,3.0,67.37342834472656,466.0,66.60417782538832,3.0,102.0,4539.17919921875,1.5726779699325562
NLGN1,ENSG00000169760,26.96116828918457,16.0,31.76072120666504,332.0,89.31440814140332,8.0,40.0,1008.743408203125,1.178017258644104
NEGR1,ENSG00000172260,24.28075408935547,3.0,42.91267395019531,349.0,73.13872522763792,2.0,51.0,1841.49755859375,1.7673534154891968
GRIN2A,ENSG00000183454,13.594447135925293,0.0,25.049158096313477,232.0,48.598464559900016,3.0,44.0,627.4603271484375,1.8426021337509155
TCF4,ENSG00000196628,11.960186004638672,7.0,13.292964935302734,133.0,94.75986430994465,4.0,18.0,176.7029266357422,1.1114345788955688
MEF2C,ENSG00000081189,10.74183177947998,1.0,18.591890335083008,173.0,51.160507052312084,3.0,32.0,345.6583557128906,1.7307932376861572
GRIN2B,ENSG00000273079,10.29780387878418,0.0,17.323373794555664,146.0,42.93876093554722,9.0,35.0,300.09930419921875,1.6822396516799927
APP,ENSG00000142192,10.178985595703125,7.0,10.308082580566406,100.0,91.49259060881985,4.0,14.0,106.2565689086914,1.0126826763153076
MAPT,ENSG00000186868,6.833333492279053,4.0,7.687057971954346,62.0,89.22513836814855,2.0,10.0,59.090858459472656,1.124935269355774
SCN1A,ENSG00000144285,4.939385890960693,0.0,8.439730644226074,75.0,43.5457953936797,4.0,16.0,71.22905731201172,1.7086598873138428
CAMK2A,ENSG00000070808,4.440367698669434,0.0,9.172378540039062,100.0,38.707373683270845,2.0,17.0,84.13253021240234,2.0656800270080566
HOMER1,ENSG00000152413,3.5149080753326416,0.0,9.33785343170166,312.0,40.34993751115872,2.0,11.0,87.19550323486328,2.656642198562622
FOXO3,ENSG00000118689,2.7195143699645996,2.0,3.2678539752960205,38.0,70.7195143724335,1.0,5.0,10.67887020111084,1.2016314268112183
CREB1,ENSG00000118260,1.0754330158233643,0.0,1.6232130527496338,20.0,49.31262274593822,1.0,3.0,2.6348206996917725,1.5093576908111572
SHANK3,ENSG00000251322,0.7108551859855652,0.0,1.2016198635101318,10.0,37.95750758793073,1.0,2.0,1.4438903331756592,1.6903862953186035
COMT,ENSG00000093010,0.5425816774368286,0.0,0.913515567779541,8.0,35.225852526334585,1.0,2.0,0.8345107436180115,1.6836462020874023
SYN1,ENSG00000008056,0.5388323664665222,0.0,1.1503478288650513,11.0,26.173897518300304,1.0,3.0,1.3233001232147217,2.134890079498291
FMR1,ENSG00000102081,0.4469737410545349,0.0,0.8177530765533447,8.0,30.28030708802,1.0,2.0,0.6687200665473938,1.8295327425003052
BDNF,ENSG00000176697,0.31788966059684753,0.0,1.640655755996704,50.0,10.007141581860383,1.0,3.0,2.69175124168396,5.161085605621338
SLC6A4,ENSG00000108576,0.020174968987703323,0.0,0.16129732131958008,4.0,1.758614533119086,1.0,1.0,0.026016823947429657,7.994923114776611
