,impact_score,avg_correlation,max_correlation,expression_level,predicted_effect_magnitude
CADM2,2.877930341151283,0.5955310531899701,0.7887635761415833,64.68648529052734,1.7138968870731934
NRXN1,2.0838797492524184,0.6287445741449494,0.9999999999999998,42.83993911743164,1.3102280855129957
NLGN1,1.2349896540792908,0.5478381169977399,0.7485870853950256,26.96116828918457,0.6765744066024888
NEGR1,1.2125763865542911,0.6223753096259366,0.8076208913222294,24.28075408935547,0.7546776040268263
GRIN2A,0.725771621823999,0.5935914932023646,0.7767270743549474,13.594447135925293,0.43081186072240946
TCF4,0.6122425157360839,0.5173180539332692,0.7332498687073904,11.960186004638672,0.3167241067757999
MEF2C,0.6017363002793268,0.5963043651747724,0.8000030754885448,10.74183177947998,0.35881798254068015
GRIN2B,0.5896555562424393,0.6211871727020318,0.7977740353492784,10.29780387878418,0.36628646785028474
APP,0.5600362398113018,0.5799088340155196,0.771746262063972,10.178985595703125,0.32476996283540793
MAPT,0.4472684889182525,0.629687278774172,0.9999999999999999,6.833333492279053,0.2816392776683703
SCN1A,0.3527109814441889,0.5469083483711665,0.7543052845008539,4.939385890960693,0.1929005803140145
CAMK2A,0.34971554000357513,0.5960216490095572,0.8054621493655696,4.440367698669434,0.20843803283719864
HOMER1,0.283606040965846,0.4898548407204684,0.6547664832919537,3.5149080753326416,0.13892579202468713
FOXO3,0.2380552403023035,0.4536042702077442,0.5691237804209486,2.7195143699645996,0.10798287354645554
SYN1,0.17421060466815885,0.5135277458218755,0.9999999999999998,0.5388323664665222,0.08946197911350552
CREB1,0.1696226893977589,0.43134003287073713,0.9999999999999999,1.0754330158233643,0.07316505642045217
SHANK3,0.16377155603924975,0.4573519625939578,0.6129446439970114,0.7108551859855652,0.07490124257161722
COMT,0.1229029471033971,0.34214451850001415,0.4403011819063237,0.5425816774368286,0.04205056965892451
FMR1,0.11622997682017298,0.3318051745284825,0.42284824662698384,0.4469737410545349,0.03856570774425897
BDNF,0.08284333426128407,0.23609328695214993,0.4797919820844295,0.31788966059684753,0.019558755087822212
SLC6A4,0.0415154348744739,0.13587482676969392,0.1852079706577295,0.020174968987703323,0.005640902521837651
