gene,effect_size,p_value,fdr,n_drugs,priority_gene
HOMER1,0.002292,,0.6706,1,True
CADM2,0.001295,,0.6706,1,False
MAPT,0.001362,,0.6706,442,False
SLC6A4,-0.000502,,0.7451,66,False
NEGR1,0.003152,,0.6706,0,True
SHANK3,0.002466,,0.6706,0,True
MEF2C,0.004234,,0.6706,0,True
NRXN1,0.002169,,0.6706,3,True
SCN1A,0.001371,,0.6706,64,True
CAMK2A,0.002401,,0.6706,7,True
GRIN2B,0.00205,,0.6706,33,True
BDNF,0.000438,,0.6706,109,False
APP,0.001985,,0.6706,31,True
GRIN2A,0.002411,,0.6706,29,True
NLGN1,0.000447,,0.6706,1,False
